RawInputStyle,gold_vendor_normalized,gold_category,amount,gold_tags
Realme Pvt. Mobile Dev PO-5129 74K,Realme Pvt. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),74000.0,
iQOO Ltd. Mobile Dev PO-1937 495K,iQOO Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),495000.0,
Vivo Corp. Comm Tools PO-4558 432K,Vivo Communication Technology Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),432000.0,
iQOO Ltd. Smart Gadgets PO-2756 484K,iQOO Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),484000.0,
Samsng Ltd. IT Eqpt PO-7690 76M,Samsung Electronics Ltd.,IT Equipment > General (UNSPSC: 43210000),76000000.0,
Honor Ltd. Mobile Dev PO-3666 330K,Honor Device Co. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),330000.0,
Honor Ltd. Mobile Dev PO-9217 222K,Honor Device Co. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),222000.0,
Vivo Corp. IT Eqpt PO-5212 552K,Vivo Communication Technology Co. Ltd.,IT Equipment > General (UNSPSC: 43210000),552000.0,
Honor Ltd. Mobile Dev PO-8737 799M,Honor Device Co. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),799000000.0,
Honor Ltd. Comm Tools PO-8856 104M,Honor Device Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),104000000.0,
Oppo Co. Smart Gadgets PO-4008 531M,OPPO Electronics Corp.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),531000000.0,
Samsng Ltd. Smart Gadgets PO-7689 618K,Samsung Electronics Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),618000.0,
Samsng Ltd. IT Eqpt PO-7050 156M,Samsung Electronics Ltd.,IT Equipment > General (UNSPSC: 43210000),156000000.0,
iQOO Ltd. Comm Tools PO-3468 197K,iQOO Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),197000.0,
Appl Inc. Smart Gadgets PO-5223 867K,Apple Inc.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),867000.0,
Redmi Intl. Smart Gadgets PO-1828 877M,Xiaomi Redmi (International),IT Equipment > Smart Gadgets (UNSPSC: 43211500),877000000.0,
Realme Pvt. Mobile Dev PO-2088 245M,Realme Pvt. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),245000000.0,
Oppo Co. IT Eqpt PO-9678 155M,OPPO Electronics Corp.,IT Equipment > General (UNSPSC: 43210000),155000000.0,
Oppo Co. Mobile Dev PO-9442 135K,OPPO Electronics Corp.,Mobile Devices > Smartphones (UNSPSC: 43191501),135000.0,
Samsng Ltd. Mobile Dev PO-9522 467K,Samsung Electronics Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),467000.0,
Samsng Ltd. Smart Gadgets PO-6760 151M,Samsung Electronics Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),151000000.0,
Appl Inc. IT Eqpt PO-1653 194M,Apple Inc.,IT Equipment > General (UNSPSC: 43210000),194000000.0,
Appl Inc. Comm Tools PO-3833 500M,Apple Inc.,Communication Equipment > Tools (UNSPSC: 43191500),500000000.0,
Samsng Ltd. Smart Gadgets PO-6864 198M,Samsung Electronics Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),198000000.0,
Samsng Ltd. Smart Gadgets PO-8692 836M,Samsung Electronics Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),836000000.0,
Oppo Co. Mobile Dev PO-1666 231K,OPPO Electronics Corp.,Mobile Devices > Smartphones (UNSPSC: 43191501),231000.0,
Appl Inc. IT Eqpt PO-5286 655K,Apple Inc.,IT Equipment > General (UNSPSC: 43210000),655000.0,
iQOO Ltd. Comm Tools PO-7599 247M,iQOO Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),247000000.0,
Honor Ltd. Smart Gadgets PO-6463 696M,Honor Device Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),696000000.0,
iQOO Ltd. Mobile Dev PO-7869 435M,iQOO Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),435000000.0,
Vivo Corp. Mobile Dev PO-7819 113K,Vivo Communication Technology Co. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),113000.0,
Honor Ltd. Comm Tools PO-9017 642K,Honor Device Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),642000.0,
Appl Inc. Comm Tools PO-4850 231K,Apple Inc.,Communication Equipment > Tools (UNSPSC: 43191500),231000.0,
Redmi Intl. Mobile Dev PO-8643 810M,Xiaomi Redmi (International),Mobile Devices > Smartphones (UNSPSC: 43191501),810000000.0,
Oppo Co. Mobile Dev PO-1650 48K,OPPO Electronics Corp.,Mobile Devices > Smartphones (UNSPSC: 43191501),48000.0,
Realme Pvt. IT Eqpt PO-2081 309M,Realme Pvt. Ltd.,IT Equipment > General (UNSPSC: 43210000),309000000.0,
Oppo Co. IT Eqpt PO-6609 927M,OPPO Electronics Corp.,IT Equipment > General (UNSPSC: 43210000),927000000.0,
Appl Inc. Comm Tools PO-8937 839K,Apple Inc.,Communication Equipment > Tools (UNSPSC: 43191500),839000.0,
Redmi Intl. IT Eqpt PO-3497 611M,Xiaomi Redmi (International),IT Equipment > General (UNSPSC: 43210000),611000000.0,
Vivo Corp. IT Eqpt PO-3199 291M,Vivo Communication Technology Co. Ltd.,IT Equipment > General (UNSPSC: 43210000),291000000.0,
Samsng Ltd. IT Eqpt PO-6375 54M,Samsung Electronics Ltd.,IT Equipment > General (UNSPSC: 43210000),54000000.0,
Samsng Ltd. Mobile Dev PO-2640 70K,Samsung Electronics Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),70000.0,
Redmi Intl. Comm Tools PO-7564 222M,Xiaomi Redmi (International),Communication Equipment > Tools (UNSPSC: 43191500),222000000.0,
iQOO Ltd. Comm Tools PO-4093 379K,iQOO Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),379000.0,
Realme Pvt. Mobile Dev PO-4541 343M,Realme Pvt. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),343000000.0,
Honor Ltd. Smart Gadgets PO-5913 942K,Honor Device Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),942000.0,
Realme Pvt. Smart Gadgets PO-3872 517K,Realme Pvt. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),517000.0,
Appl Inc. Smart Gadgets PO-6590 736K,Apple Inc.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),736000.0,
Redmi Intl. Comm Tools PO-1671 497M,Xiaomi Redmi (International),Communication Equipment > Tools (UNSPSC: 43191500),497000000.0,
iQOO Ltd. Comm Tools PO-3997 377K,iQOO Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),377000.0,
Honor Ltd. Smart Gadgets PO-9320 459M,Honor Device Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),459000000.0,
Redmi Intl. Mobile Dev PO-5787 254M,Xiaomi Redmi (International),Mobile Devices > Smartphones (UNSPSC: 43191501),254000000.0,
Realme Pvt. Mobile Dev PO-9790 833M,Realme Pvt. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),833000000.0,
Appl Inc. Comm Tools PO-5082 119M,Apple Inc.,Communication Equipment > Tools (UNSPSC: 43191500),119000000.0,
Oppo Co. IT Eqpt PO-9971 820K,OPPO Electronics Corp.,IT Equipment > General (UNSPSC: 43210000),820000.0,
Realme Pvt. IT Eqpt PO-8791 268M,Realme Pvt. Ltd.,IT Equipment > General (UNSPSC: 43210000),268000000.0,
Redmi Intl. IT Eqpt PO-3415 924M,Xiaomi Redmi (International),IT Equipment > General (UNSPSC: 43210000),924000000.0,
Samsng Ltd. IT Eqpt PO-8117 888K,Samsung Electronics Ltd.,IT Equipment > General (UNSPSC: 43210000),888000.0,
Oppo Co. Comm Tools PO-7369 983K,OPPO Electronics Corp.,Communication Equipment > Tools (UNSPSC: 43191500),983000.0,
Appl Inc. Smart Gadgets PO-6856 978K,Apple Inc.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),978000.0,
Appl Inc. Smart Gadgets PO-7542 110M,Apple Inc.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),110000000.0,
Appl Inc. IT Eqpt PO-7322 710K,Apple Inc.,IT Equipment > General (UNSPSC: 43210000),710000.0,
Honor Ltd. IT Eqpt PO-2578 881K,Honor Device Co. Ltd.,IT Equipment > General (UNSPSC: 43210000),881000.0,
Samsng Ltd. Smart Gadgets PO-7455 896M,Samsung Electronics Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),896000000.0,
Honor Ltd. Smart Gadgets PO-1870 412K,Honor Device Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),412000.0,
Honor Ltd. Smart Gadgets PO-2868 73M,Honor Device Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),73000000.0,
Oppo Co. Comm Tools PO-2510 659M,OPPO Electronics Corp.,Communication Equipment > Tools (UNSPSC: 43191500),659000000.0,
Appl Inc. Mobile Dev PO-7122 196M,Apple Inc.,Mobile Devices > Smartphones (UNSPSC: 43191501),196000000.0,
iQOO Ltd. IT Eqpt PO-1578 815M,iQOO Ltd.,IT Equipment > General (UNSPSC: 43210000),815000000.0,
Honor Ltd. Mobile Dev PO-5519 928K,Honor Device Co. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),928000.0,
Honor Ltd. Comm Tools PO-7019 404M,Honor Device Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),404000000.0,
Honor Ltd. Smart Gadgets PO-9885 333K,Honor Device Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),333000.0,
Appl Inc. Mobile Dev PO-5815 826M,Apple Inc.,Mobile Devices > Smartphones (UNSPSC: 43191501),826000000.0,
Redmi Intl. Mobile Dev PO-6032 408M,Xiaomi Redmi (International),Mobile Devices > Smartphones (UNSPSC: 43191501),408000000.0,
Samsng Ltd. Smart Gadgets PO-3779 290K,Samsung Electronics Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),290000.0,
Vivo Corp. Mobile Dev PO-6653 289M,Vivo Communication Technology Co. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),289000000.0,
iQOO Ltd. Mobile Dev PO-4135 399M,iQOO Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),399000000.0,
Vivo Corp. Comm Tools PO-3980 371K,Vivo Communication Technology Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),371000.0,
iQOO Ltd. IT Eqpt PO-6919 503K,iQOO Ltd.,IT Equipment > General (UNSPSC: 43210000),503000.0,
Vivo Corp. Mobile Dev PO-6408 581M,Vivo Communication Technology Co. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),581000000.0,
Honor Ltd. Comm Tools PO-1999 587K,Honor Device Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),587000.0,
Appl Inc. IT Eqpt PO-4443 23K,Apple Inc.,IT Equipment > General (UNSPSC: 43210000),23000.0,
Oppo Co. Smart Gadgets PO-2187 744M,OPPO Electronics Corp.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),744000000.0,
Honor Ltd. Mobile Dev PO-7964 541M,Honor Device Co. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),541000000.0,
Oppo Co. IT Eqpt PO-2501 238M,OPPO Electronics Corp.,IT Equipment > General (UNSPSC: 43210000),238000000.0,
Redmi Intl. IT Eqpt PO-7416 735K,Xiaomi Redmi (International),IT Equipment > General (UNSPSC: 43210000),735000.0,
Honor Ltd. Comm Tools PO-9056 721K,Honor Device Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),721000.0,
Vivo Corp. IT Eqpt PO-7556 143M,Vivo Communication Technology Co. Ltd.,IT Equipment > General (UNSPSC: 43210000),143000000.0,
Realme Pvt. Smart Gadgets PO-1012 787K,Realme Pvt. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),787000.0,
Appl Inc. Smart Gadgets PO-8310 251K,Apple Inc.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),251000.0,
Honor Ltd. Smart Gadgets PO-4584 380M,Honor Device Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),380000000.0,
Vivo Corp. IT Eqpt PO-4847 653K,Vivo Communication Technology Co. Ltd.,IT Equipment > General (UNSPSC: 43210000),653000.0,
Realme Pvt. Smart Gadgets PO-4148 376M,Realme Pvt. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),376000000.0,
Vivo Corp. IT Eqpt PO-1168 512M,Vivo Communication Technology Co. Ltd.,IT Equipment > General (UNSPSC: 43210000),512000000.0,
Samsng Ltd. Smart Gadgets PO-4660 522M,Samsung Electronics Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),522000000.0,
iQOO Ltd. IT Eqpt PO-8088 233M,iQOO Ltd.,IT Equipment > General (UNSPSC: 43210000),233000000.0,
Redmi Intl. Comm Tools PO-5718 586M,Xiaomi Redmi (International),Communication Equipment > Tools (UNSPSC: 43191500),586000000.0,
Realme Pvt. Smart Gadgets PO-1034 537M,Realme Pvt. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),537000000.0,
Redmi Intl. IT Eqpt PO-1574 362K,Xiaomi Redmi (International),IT Equipment > General (UNSPSC: 43210000),362000.0,
Realme Pvt. Smart Gadgets PO-2785 988K,Realme Pvt. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),988000.0,
iQOO Ltd. Mobile Dev PO-7522 91M,iQOO Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),91000000.0,
Vivo Corp. Mobile Dev PO-5084 368K,Vivo Communication Technology Co. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),368000.0,
Realme Pvt. IT Eqpt PO-6926 260M,Realme Pvt. Ltd.,IT Equipment > General (UNSPSC: 43210000),260000000.0,
Oppo Co. Smart Gadgets PO-1515 751K,OPPO Electronics Corp.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),751000.0,
iQOO Ltd. Mobile Dev PO-7646 540K,iQOO Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),540000.0,
Samsng Ltd. Comm Tools PO-7418 385K,Samsung Electronics Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),385000.0,
Samsng Ltd. Mobile Dev PO-6712 607K,Samsung Electronics Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),607000.0,
Realme Pvt. Mobile Dev PO-5979 461K,Realme Pvt. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),461000.0,
Realme Pvt. IT Eqpt PO-6372 343K,Realme Pvt. Ltd.,IT Equipment > General (UNSPSC: 43210000),343000.0,
Vivo Corp. IT Eqpt PO-5424 812K,Vivo Communication Technology Co. Ltd.,IT Equipment > General (UNSPSC: 43210000),812000.0,
Honor Ltd. Comm Tools PO-4081 864K,Honor Device Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),864000.0,
Realme Pvt. Smart Gadgets PO-2154 698M,Realme Pvt. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),698000000.0,
Appl Inc. Mobile Dev PO-8920 775K,Apple Inc.,Mobile Devices > Smartphones (UNSPSC: 43191501),775000.0,
iQOO Ltd. Mobile Dev PO-4127 39M,iQOO Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),39000000.0,
Redmi Intl. Comm Tools PO-9417 472M,Xiaomi Redmi (International),Communication Equipment > Tools (UNSPSC: 43191500),472000000.0,
iQOO Ltd. Smart Gadgets PO-9081 672K,iQOO Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),672000.0,
iQOO Ltd. Mobile Dev PO-3927 473K,iQOO Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),473000.0,
Oppo Co. Comm Tools PO-3593 550K,OPPO Electronics Corp.,Communication Equipment > Tools (UNSPSC: 43191500),550000.0,
Realme Pvt. Comm Tools PO-4152 771M,Realme Pvt. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),771000000.0,
Redmi Intl. Mobile Dev PO-4997 463M,Xiaomi Redmi (International),Mobile Devices > Smartphones (UNSPSC: 43191501),463000000.0,
Realme Pvt. Smart Gadgets PO-5389 339M,Realme Pvt. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),339000000.0,
Realme Pvt. Mobile Dev PO-1366 855K,Realme Pvt. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),855000.0,
Honor Ltd. Mobile Dev PO-1555 313M,Honor Device Co. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),313000000.0,
Samsng Ltd. Smart Gadgets PO-6217 822M,Samsung Electronics Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),822000000.0,
Oppo Co. Comm Tools PO-8448 830K,OPPO Electronics Corp.,Communication Equipment > Tools (UNSPSC: 43191500),830000.0,
Realme Pvt. Smart Gadgets PO-8392 144M,Realme Pvt. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),144000000.0,
Samsng Ltd. Mobile Dev PO-9872 606K,Samsung Electronics Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),606000.0,
Samsng Ltd. Smart Gadgets PO-2101 739M,Samsung Electronics Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),739000000.0,
Samsng Ltd. Mobile Dev PO-8199 271M,Samsung Electronics Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),271000000.0,
Vivo Corp. Smart Gadgets PO-3249 663M,Vivo Communication Technology Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),663000000.0,
Realme Pvt. Mobile Dev PO-4537 469M,Realme Pvt. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),469000000.0,
iQOO Ltd. Smart Gadgets PO-4375 239M,iQOO Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),239000000.0,
Realme Pvt. Mobile Dev PO-9669 649K,Realme Pvt. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),649000.0,
Redmi Intl. Mobile Dev PO-1823 506M,Xiaomi Redmi (International),Mobile Devices > Smartphones (UNSPSC: 43191501),506000000.0,
Realme Pvt. IT Eqpt PO-9426 803K,Realme Pvt. Ltd.,IT Equipment > General (UNSPSC: 43210000),803000.0,
Samsng Ltd. Mobile Dev PO-4541 509K,Samsung Electronics Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),509000.0,
Honor Ltd. Smart Gadgets PO-1326 877K,Honor Device Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),877000.0,
Samsng Ltd. Comm Tools PO-9275 568K,Samsung Electronics Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),568000.0,
Samsng Ltd. IT Eqpt PO-8187 818K,Samsung Electronics Ltd.,IT Equipment > General (UNSPSC: 43210000),818000.0,
Realme Pvt. Smart Gadgets PO-5665 257K,Realme Pvt. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),257000.0,
Redmi Intl. IT Eqpt PO-1857 164K,Xiaomi Redmi (International),IT Equipment > General (UNSPSC: 43210000),164000.0,
Appl Inc. Smart Gadgets PO-6708 405M,Apple Inc.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),405000000.0,
Oppo Co. IT Eqpt PO-6845 839K,OPPO Electronics Corp.,IT Equipment > General (UNSPSC: 43210000),839000.0,
Honor Ltd. IT Eqpt PO-1568 293M,Honor Device Co. Ltd.,IT Equipment > General (UNSPSC: 43210000),293000000.0,
Realme Pvt. Comm Tools PO-2308 561K,Realme Pvt. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),561000.0,
Samsng Ltd. Mobile Dev PO-4413 755K,Samsung Electronics Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),755000.0,
Realme Pvt. Comm Tools PO-5634 264K,Realme Pvt. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),264000.0,
Vivo Corp. IT Eqpt PO-7851 815K,Vivo Communication Technology Co. Ltd.,IT Equipment > General (UNSPSC: 43210000),815000.0,
Oppo Co. Comm Tools PO-6716 304M,OPPO Electronics Corp.,Communication Equipment > Tools (UNSPSC: 43191500),304000000.0,
Samsng Ltd. Smart Gadgets PO-7126 567K,Samsung Electronics Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),567000.0,
iQOO Ltd. Comm Tools PO-2309 162M,iQOO Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),162000000.0,
Vivo Corp. Comm Tools PO-1587 858M,Vivo Communication Technology Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),858000000.0,
iQOO Ltd. Smart Gadgets PO-9536 832K,iQOO Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),832000.0,
Oppo Co. Smart Gadgets PO-4183 731M,OPPO Electronics Corp.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),731000000.0,
Samsng Ltd. Smart Gadgets PO-8027 265K,Samsung Electronics Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),265000.0,
Redmi Intl. IT Eqpt PO-2650 471M,Xiaomi Redmi (International),IT Equipment > General (UNSPSC: 43210000),471000000.0,
Redmi Intl. IT Eqpt PO-4265 897K,Xiaomi Redmi (International),IT Equipment > General (UNSPSC: 43210000),897000.0,
Appl Inc. Smart Gadgets PO-2623 659K,Apple Inc.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),659000.0,
iQOO Ltd. IT Eqpt PO-1970 652M,iQOO Ltd.,IT Equipment > General (UNSPSC: 43210000),652000000.0,
iQOO Ltd. Comm Tools PO-3096 440M,iQOO Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),440000000.0,
Honor Ltd. Mobile Dev PO-5482 664M,Honor Device Co. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),664000000.0,
Honor Ltd. Mobile Dev PO-9467 185M,Honor Device Co. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),185000000.0,
Oppo Co. Mobile Dev PO-9919 868M,OPPO Electronics Corp.,Mobile Devices > Smartphones (UNSPSC: 43191501),868000000.0,
Oppo Co. IT Eqpt PO-4126 289K,OPPO Electronics Corp.,IT Equipment > General (UNSPSC: 43210000),289000.0,
Oppo Co. Mobile Dev PO-1688 713K,OPPO Electronics Corp.,Mobile Devices > Smartphones (UNSPSC: 43191501),713000.0,
Realme Pvt. IT Eqpt PO-6020 154M,Realme Pvt. Ltd.,IT Equipment > General (UNSPSC: 43210000),154000000.0,
Honor Ltd. IT Eqpt PO-7097 564M,Honor Device Co. Ltd.,IT Equipment > General (UNSPSC: 43210000),564000000.0,
Appl Inc. IT Eqpt PO-8030 211M,Apple Inc.,IT Equipment > General (UNSPSC: 43210000),211000000.0,
Oppo Co. Comm Tools PO-3252 151K,OPPO Electronics Corp.,Communication Equipment > Tools (UNSPSC: 43191500),151000.0,
Vivo Corp. Smart Gadgets PO-5904 225K,Vivo Communication Technology Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),225000.0,
Realme Pvt. Smart Gadgets PO-7369 239K,Realme Pvt. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),239000.0,
